code,course,HEI,R1 Points 2021,R2 Points 2021,EOS Points 2021,R1 Points 2020,R2 Points 2020,EOS Points 2020,R1 Points 2019
AL801,Software Design for Virtual Reality and Gaming,Athlone Institute of Technology,300.0,,300.0,303.0,,303.0,304.0
AL802,Software Design in Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,313.0,,313.0,332.0,,332.0,301.0
AL803,Software Design for Mobile Apps and Connected Devices,Athlone Institute of Technology,350.0,,350.0,337.0,,337.0,309.0
AL805,Computer Engineering for Network Infrastructure,Athlone Institute of Technology,321.0,,321.0,333.0,,333.0,329.0
AL810,Quantity Surveying,Athlone Institute of Technology,328.0,,328.0,319.0,,326.0,307.0
AL811,Civil Engineering,Athlone Institute of Technology,,,,320.0,,320.0,
AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,327.0,,327.0,308.0,,308.0,300.0
AL830,General Nursing,Athlone Institute of Technology,451.0,444.0,440.0,442.0,,442.0,410.0
AL832,Mental Health Nursing,Athlone Institute of Technology,440.0,431.0,431.0,387.0,384.0,384.0,387.0
AL835,Pharmacology,Athlone Institute of Technology,356.0,,356.0,,,,
AL836,Nutrition and Health Science,Athlone Institute of Technology,346.0,,346.0,334.0,,334.0,352.0
AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,357.0,,357.0,351.0,,351.0,351.0
AL838,Biotechnology,Athlone Institute of Technology,324.0,,324.0,307.0,,307.0,302.0
AL839,Microbiology,Athlone Institute of Technology,325.0,,325.0,325.0,,325.0,322.0
AL840,Pharmaceutical Sciences,Athlone Institute of Technology,346.0,,346.0,347.0,,347.0,328.0
AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,477.0,476.0,462.0,430.0,,430.0,423.0
AL842,Bioveterinary Science,Athlone Institute of Technology,338.0,,338.0,313.0,,313.0,310.0
AL843,Physical Activity and Health Science,Athlone Institute of Technology,306.0,,306.0,306.0,,306.0,310.0
AL849,Culinary Entrepreneurship,Athlone Institute of Technology,297.0,,297.0,,,,
AL850,Business,Athlone Institute of Technology,309.0,,309.0,309.0,,309.0,307.0
AL851,Business and Law,Athlone Institute of Technology,302.0,,302.0,295.0,,295.0,301.0
AL852,Accounting,Athlone Institute of Technology,336.0,,336.0,309.0,,309.0,290.0
AL854,Sport Management (with international placement),Athlone Institute of Technology,300.0,299.0,299.0,302.0,299.0,299.0,
AL855,Hospitality Management (with international placement),Athlone Institute of Technology,309.0,,309.0,308.0,,308.0,312.0
AL857,Digital Marketing,Athlone Institute of Technology,304.0,,304.0,304.0,,304.0,300.0
AL859,International Business,Athlone Institute of Technology,308.0,,308.0,,,,
AL860,Social Care Practice,Athlone Institute of Technology,301.0,,301.0,300.0,,300.0,309.0
AL861,Animation and Illustration (portfolio),Athlone Institute of Technology,575.0,,575.0,578.0,,578.0,615.0
AL863,Graphic and Digital Design (portfolio),Athlone Institute of Technology,747.0,,747.0,781.0,,781.0,703.0
AL864,Early Years Care and Education,Athlone Institute of Technology,306.0,,306.0,307.0,,307.0,307.0
AL870,Applied Psychology,Athlone Institute of Technology,484.0,467.0,452.0,418.0,,418.0,409.0
CW018,Business (options),"Institute of Technology, Carlow",307.0,,307.0,298.0,248.0,248.0,327.0
CW028,Early Childhood Education and Care,"Institute of Technology, Carlow",260.0,,260.0,252.0,,252.0,252.0
CW038,Art (portfolio),"Institute of Technology, Carlow",700.0,,700.0,700.0,,700.0,700.0
CW048,Creative Computing and Digital Innovation,"Institute of Technology, Carlow",,,,,,,
CW058,Tourism and Event Management,"Institute of Technology, Carlow",292.0,,292.0,298.0,,298.0,252.0
CW068,Applied Social Studies in Professional Social Care,"Institute of Technology, Carlow",250.0,,250.0,245.0,,245.0,251.0
CW078,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",270.0,,270.0,269.0,,269.0,266.0
CW088,Visual Communications and Design,"Institute of Technology, Carlow",270.0,,270.0,274.0,,274.0,309.0
CW108,Science (options),"Institute of Technology, Carlow",266.0,,266.0,261.0,,261.0,261.0
CW128,Brewing and Distilling,"Institute of Technology, Carlow",307.0,,307.0,263.0,,263.0,271.0
CW138,Sport and Exercise Science,"Institute of Technology, Carlow",430.0,423.0,423.0,423.0,,423.0,
CW148,Strength and Conditioning,"Institute of Technology, Carlow",388.0,,388.0,379.0,,379.0,
CW188,Sport Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",451.0,,451.0,451.0,448.0,448.0,454.0
CW208,Computer Games Development,"Institute of Technology, Carlow",272.0,,272.0,279.0,,279.0,281.0
CW238,Software Development,"Institute of Technology, Carlow",295.0,,295.0,297.0,,297.0,300.0
CW248,Information Technology Management,"Institute of Technology, Carlow",293.0,,293.0,285.0,,285.0,307.0
CW258,Cybercrime and IT Security,"Institute of Technology, Carlow",292.0,,292.0,293.0,,293.0,300.0
CW268,Computing in Interactive Digital Art and Design,"Institute of Technology, Carlow",291.0,,291.0,287.0,,287.0,274.0
CW438,Construction (options),"Institute of Technology, Carlow",260.0,251.0,251.0,272.0,,272.0,271.0
CW468,Architectural Technology,"Institute of Technology, Carlow",291.0,283.0,283.0,262.0,,262.0,252.0
CW478,Civil Engineering,"Institute of Technology, Carlow",465.0,,465.0,433.0,,433.0,348.0
CW548,Mechanical Engineering,"Institute of Technology, Carlow",330.0,328.0,328.0,321.0,,321.0,310.0
CW558,Electronic Systems,"Institute of Technology, Carlow",280.0,,280.0,280.0,,280.0,279.0
CW568,Aerospace Engineering,"Institute of Technology, Carlow",371.0,359.0,359.0,380.0,,380.0,366.0
CW578,TV and Media Production,"Institute of Technology, Carlow",318.0,,318.0,325.0,,325.0,327.0
CW708,Law - LLB,"Institute of Technology, Carlow",292.0,,292.0,302.0,,302.0,298.0
CW728,Product Design Innovation,"Institute of Technology, Carlow",246.0,,246.0,252.0,,252.0,286.0
CW748,Early Childhood Education and Care,"Institute of Technology, Carlow",290.0,,290.0,270.0,,270.0,265.0
CW758,Professional Social Care Practice,"Institute of Technology, Carlow",360.0,358.0,358.0,336.0,,336.0,290.0
CW808,Media and Public Relations,"Institute of Technology, Carlow",247.0,,247.0,251.0,,251.0,248.0
CW848,Digital Marketing with Analytics,"Institute of Technology, Carlow",269.0,,269.0,254.0,,269.0,279.0
CW858,"Sports Management and Coaching (options, portfolio)","Institute of Technology, Carlow",700.0,,700.0,700.0,,700.0,700.0
CW908,Business (options),"Institute of Technology, Carlow",272.0,,272.0,280.0,,280.0,260.0
CW938,Business with Law,"Institute of Technology, Carlow",270.0,,270.0,283.0,,283.0,270.0
CW948,Accounting,"Institute of Technology, Carlow",319.0,,319.0,300.0,,300.0,301.0
PC405,"Social, Political and Community Studies","Carlow College, St. Patrick`s",263.0,235.0,235.0,253.0,216.0,216.0,251.0
PC410,Arts and Humanities (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",262.0,230.0,230.0,252.0,209.0,209.0,203.0
PC411,English and History (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",243.0,224.0,224.0,255.0,209.0,209.0,168.0
CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,443.0,,443.0,443.0,,443.0,432.0
CR106,Software Development,Cork Institute of Technology,431.0,,431.0,411.0,,411.0,351.0
CR108,Mechanical Engineering,Cork Institute of Technology,434.0,,434.0,434.0,,434.0,425.0
CR109,Structural Engineering,Cork Institute of Technology,396.0,,396.0,394.0,,394.0,341.0
CR110,Automotive Business Management and Technology,Cork Institute of Technology,336.0,,336.0,311.0,,311.0,318.0
CR112,Creative Digital Media at CIT Crawford College of Art and Design,Cork Institute of Technology,390.0,,390.0,361.0,,361.0,335.0
CR116,Computer Systems,Cork Institute of Technology,365.0,,365.0,332.0,,332.0,318.0
CR121,Music at CIT Cork School of Music,Cork Institute of Technology,904.0,904.0,904.0,868.0,,912.0,633.0
CR125,Popular Music at CIT Cork School of Music,Cork Institute of Technology,1028.0,,1028.0,1088.0,,1088.0,972.0
CR130,Musical Theatre at CIT Cork School of Music,Cork Institute of Technology,525.0,,525.0,548.0,518.0,505.0,500.0
CR150,Business Information Systems,Cork Institute of Technology,350.0,,350.0,335.0,,335.0,326.0
